;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
0;Auctions;Order;lvmh;mm;12.0;L;A;4.93;70.0;-1.0
1;Auctions;Order;lvmh;moha1;1.0;L;A;5.06;492.0;1.0
2;Auctions;Order;lvmh;moha3;1.0;L;A;5.07;48.0;2.0
3;Auctions;Order;lvmh;moha;1.0;L;A;5.32;131.0;1.0
4;Auctions;##############################;;;;;;;;
5;Auctions;##############################;;;;;;;;
6;Auctions;##############################;;;;;;;;
7;Auctions;##############################;;;;;;;;
8;Auctions;##############################;;;;;;;;
9;Auctions;##############################;;;;;;;;
10;Auctions;Order;lvmh;mm;13.0;L;B;4.91;496.0;-1.0
11;Auctions;Order;lvmh;moha2;1.0;L;B;4.78;70.0;2.0
12;Auctions;##############################;;;;;;;;
13;Auctions;##############################;;;;;;;;
14;Auctions;##############################;;;;;;;;
15;Auctions;##############################;;;;;;;;
16;Auctions;##############################;;;;;;;;
17;Auctions;##############################;;;;;;;;
18;Auctions;##############################;;;;;;;;
19;Auctions;##############################;;;;;;;;
20;Auctions;Order;lvmh;mm;24.0;L;A;4.86;555.0;-1.0
21;Auctions;Order;lvmh;moha2;2.0;L;A;4.9;70.0;1.0
22;Auctions;Order;lvmh;bhd;1.0;L;A;4.97;1496.0;-1.0
23;Auctions;Order;lvmh;moha3;1.0;L;A;5.07;48.0;1.0
24;Auctions;##############################;;;;;;;;
25;Auctions;##############################;;;;;;;;
26;Auctions;##############################;;;;;;;;
27;Auctions;##############################;;;;;;;;
28;Auctions;##############################;;;;;;;;
29;Auctions;##############################;;;;;;;;
30;Auctions;Order;lvmh;mm;25.0;L;B;4.81;70.0;-1.0
31;Auctions;Order;lvmh;moha;2.0;L;B;4.8;550.0;2.0
32;Auctions;Order;lvmh;moha2;1.0;L;B;4.78;70.0;1.0
33;Auctions;##############################;;;;;;;;
34;Auctions;##############################;;;;;;;;
35;Auctions;##############################;;;;;;;;
36;Auctions;##############################;;;;;;;;
37;Auctions;##############################;;;;;;;;
38;Auctions;##############################;;;;;;;;
39;Auctions;##############################;;;;;;;;
40;Auctions;Order;lvmh;mm;36.0;L;A;4.98;24.0;-1.0
41;Auctions;Order;lvmh;moha1;3.0;L;A;5.01;785.0;1.0
42;Auctions;Order;lvmh;bhd;2.0;L;A;5.07;2381.0;-1.0
43;Auctions;##############################;;;;;;;;
44;Auctions;##############################;;;;;;;;
45;Auctions;##############################;;;;;;;;
46;Auctions;##############################;;;;;;;;
47;Auctions;##############################;;;;;;;;
48;Auctions;##############################;;;;;;;;
49;Auctions;##############################;;;;;;;;
50;Auctions;Order;lvmh;mm;37.0;L;B;4.97;792.0;-1.0
51;Auctions;Order;lvmh;moha2;3.0;L;B;4.93;24.0;2.0
52;Auctions;Order;lvmh;moha;3.0;L;B;4.84;760.0;2.0
53;Auctions;Order;lvmh;moha;2.0;L;B;4.8;550.0;1.0
54;Auctions;Order;lvmh;moha3;3.0;L;B;4.8;66.0;2.0
55;Auctions;##############################;;;;;;;;
56;Auctions;##############################;;;;;;;;
57;Auctions;##############################;;;;;;;;
58;Auctions;##############################;;;;;;;;
59;Auctions;##############################;;;;;;;;
60;Auctions;Order;lvmh;mm;48.0;L;A;5.02;318.0;-1.0
61;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
62;Auctions;##############################;;;;;;;;
63;Auctions;##############################;;;;;;;;
64;Auctions;##############################;;;;;;;;
65;Auctions;##############################;;;;;;;;
66;Auctions;##############################;;;;;;;;
67;Auctions;##############################;;;;;;;;
68;Auctions;##############################;;;;;;;;
69;Auctions;##############################;;;;;;;;
70;Auctions;Order;lvmh;mm;49.0;L;B;4.98;4217.0;-1.0
71;Auctions;Order;lvmh;moha;4.0;L;B;4.95;315.0;2.0
72;Auctions;Order;lvmh;moha2;3.0;L;B;4.93;24.0;1.0
73;Auctions;Order;lvmh;moha;3.0;L;B;4.84;760.0;1.0
74;Auctions;Order;lvmh;moha3;3.0;L;B;4.8;66.0;1.0
75;Auctions;##############################;;;;;;;;
76;Auctions;##############################;;;;;;;;
77;Auctions;##############################;;;;;;;;
78;Auctions;##############################;;;;;;;;
79;Auctions;##############################;;;;;;;;
80;Auctions;Order;lvmh;mm;60.0;L;A;5.0;834.0;-1.0
81;Auctions;Order;lvmh;moha3;5.0;L;A;5.02;4.0;1.0
82;Auctions;Order;lvmh;moha2;5.0;L;A;5.04;64.0;1.0
83;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
84;Auctions;##############################;;;;;;;;
85;Auctions;##############################;;;;;;;;
86;Auctions;##############################;;;;;;;;
87;Auctions;##############################;;;;;;;;
88;Auctions;##############################;;;;;;;;
89;Auctions;##############################;;;;;;;;
90;Auctions;Order;lvmh;mm;61.0;L;B;4.99;4.0;-1.0
91;Auctions;Order;lvmh;moha1;5.0;L;B;4.96;826.0;1.0
92;Auctions;Order;lvmh;saad;4.0;L;B;4.95;527.0;-1.0
93;Auctions;##############################;;;;;;;;
94;Auctions;##############################;;;;;;;;
95;Auctions;##############################;;;;;;;;
96;Auctions;##############################;;;;;;;;
97;Auctions;##############################;;;;;;;;
98;Auctions;##############################;;;;;;;;
99;Auctions;##############################;;;;;;;;
100;Auctions;Order;lvmh;mm;72.0;L;A;4.99;834.0;-1.0
101;Auctions;Order;lvmh;moha1;6.0;L;A;5.0;224.0;1.0
102;Auctions;Order;lvmh;moha3;6.0;L;A;5.0;90.0;2.0
103;Auctions;Order;lvmh;bhd;5.0;L;A;5.01;887.0;-1.0
104;Auctions;Order;lvmh;moha2;6.0;L;A;5.01;92.0;1.0
105;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
106;Auctions;##############################;;;;;;;;
107;Auctions;##############################;;;;;;;;
108;Auctions;##############################;;;;;;;;
109;Auctions;##############################;;;;;;;;
110;Auctions;Order;lvmh;mm;73.0;L;B;4.98;226.0;-1.0
111;Auctions;Order;lvmh;saad;4.0;L;B;4.95;527.0;-1.0
112;Auctions;##############################;;;;;;;;
113;Auctions;##############################;;;;;;;;
114;Auctions;##############################;;;;;;;;
115;Auctions;##############################;;;;;;;;
116;Auctions;##############################;;;;;;;;
117;Auctions;##############################;;;;;;;;
118;Auctions;##############################;;;;;;;;
119;Auctions;##############################;;;;;;;;
120;Auctions;Order;lvmh;mm;84.0;L;A;4.98;372.0;-1.0
121;Auctions;Order;lvmh;moha3;6.0;L;A;5.0;90.0;1.0
122;Auctions;Order;lvmh;bhd;5.0;L;A;5.01;887.0;-1.0
123;Auctions;Order;lvmh;moha1;7.0;L;A;5.01;470.0;1.0
124;Auctions;Order;lvmh;moha2;7.0;L;A;5.01;61.0;1.0
125;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
126;Auctions;##############################;;;;;;;;
127;Auctions;##############################;;;;;;;;
128;Auctions;##############################;;;;;;;;
129;Auctions;##############################;;;;;;;;
