;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
0;0;0;Tick;1;lvmh;0.014;0.012;0.014;50000;0.0;50000;10.665987915274119;0.0
1;1;1;Tick;2;lvmh;0.014;0.012;0.014;239480;0.0;289480;5.090812722130859;0.0
2;2;2;Tick;3;lvmh;0.014;0.012;0.014;39480;0.0;328960;7.597151763139733;0.0
3;3;3;Tick;4;lvmh;0.014;0.012;0.013;20000;0.0;348960;7.130686789487095;0.0
4;4;4;Tick;5;lvmh;0.012;0.011;0.012;272586;0.008000000000000007;621546;6.1142192773840645;-0.0
5;5;5;Tick;6;lvmh;0.012;0.011;0.011;150100;0.014310835055998656;771646;4.867001072254166;-0.0
6;6;6;Tick;7;lvmh;0.012;0.011;0.012;221767;0.020238577025077642;993413;5.030486354356425;-1.7142741545784665e-14
7;7;7;Tick;8;lvmh;0.012;0.011;0.011;979153;0.019439772681406592;1972566;4.0474556566955;-0.0
8;8;8;Tick;9;lvmh;0.012;0.011;0.012;1027283;0.020839522890069115;2999849;3.59191983791883;-0.0
9;9;9;Tick;10;lvmh;0.012;0.011;0.011;500068;0.01977652929892177;3499917;3.0650506076123296;-0.0
10;10;10;Tick;11;lvmh;0.012;0.011;0.011;1105488;0.02023857702507763;4605405;4.648483593901427;-0.0
11;11;11;Tick;12;lvmh;0.012;0.011;0.01;694947;0.020353244101482832;5300352;5.273640655012788;-0.0
12;12;12;Tick;13;lvmh;0.012;0.011;0.011;214476;0.022063269902439186;5514828;5.348690206545271;-0.0
13;13;13;Tick;14;lvmh;0.012;0.011;0.011;100000;0.02166410241236256;5614828;5.248430456960883;1.601472743211269e-14
14;14;14;Tick;15;lvmh;0.012;0.011;0.011;107556;0.0212489172316258;5722384;5.290889342874013;-1.6327641141120675e-14
15;15;15;Tick;16;lvmh;0.012;0.011;0.012;214228;0.02083220949349714;5936612;5.355597938749915;-0.0
16;16;16;Tick;17;lvmh;0.012;0.011;0.011;10500;0.02013289182738866;5947112;5.345636829572321;-0.0
17;17;17;Tick;18;lvmh;0.012;0.011;0.011;105219;0.019787102156826955;6052331;5.32693331439919;-0.0
18;18;18;Tick;19;lvmh;0.012;0.011;0.011;207367;0.01944591964525395;6259698;5.271656862420292;-0.0
19;19;19;Tick;20;lvmh;0.012;0.011;0.011;100000;0.019112471051844715;6359698;5.184467750415838;-0.0
20;20;20;Tick;21;lvmh;0.012;0.011;0.011;100;0.0187885743555968;6359798;5.1843820047622255;-0.0
21;21;21;Tick;22;lvmh;0.013;0.012;0.014;524206;0.018475208614068032;6884004;4.925345903638533;-0.0
22;22;22;Tick;23;lvmh;0.014;0.012;0.014;235656;0.01970870113510529;7119660;5.083013641371151;-0.0
23;23;23;Tick;24;lvmh;0.015;0.012;0.015;181553;0.020639575937059854;7301213;4.973599212685031;6.444675444960647
24;24;24;Tick;25;lvmh;0.015;0.012;0.015;300;0.022627416997969524;7301513;4.973384697333151;10.815413383737978
25;25;25;Tick;26;lvmh;0.015;0.012;0.015;100;0.024141803301880056;7301613;4.973313196327896;13.222585107694087
26;26;26;Tick;27;lvmh;0.016;0.012;0.016;179411;0.025321562717603715;7481024;4.981268741082023;14.748271906915921
27;27;27;Tick;28;lvmh;0.016;0.012;0.016;100;0.027408485387286026;7481124;4.981198839879452;12.097032285973226
28;28;28;Tick;29;lvmh;0.016;0.012;0.016;200;0.0290491282459879;7481324;4.981059043359608;10.225235122575267
29;29;29;Tick;30;lvmh;0.016;0.012;0.016;100;0.030362019312765887;7481424;4.980989148042169;8.832348675116632
30;30;30;Tick;31;lvmh;0.016;0.012;0.013;200000;0.03142471389970259;7681424;5.057125163300721;7.755066323148928
31;31;31;Tick;32;lvmh;0.016;0.012;0.016;500;0.030906031704166174;7681924;5.056779361075599;7.7327345011784585
